DeviceObj,Circuit,Location,Debug,Three Phase
Lights corr,MWSB.6.DE.2.LE2.2,3047,,
Lights corr,MWSB.6.DE.2.LE2.2,3091,,
Lights corr,MWSB.6.DE.2.LE2.2,3097,,
Lights stairs C3,MWSB.6.DE.2.LE2.3,,,
Lights stairs E1,MWSB.6.DE.2.LE2.4,,,
Lights stairs E2,MWSB.6.DE.2.LE2.4,,,
Lights,MWSB.6.DE.2.LE2.5,3106,,
Lights,MWSB.6.DE.2.LE2.5,3118,,
Lights,MWSB.6.DE.2.LE2.5,3117A,,
Exit Signs E/C Third Floor,MWSB.6.DE.2.LE2.6,,,
Lights Bathroom,MWSB.6.DE.2.LE2.7,3095,,
Lights corr,MWSB.6.DE.2.LE2.8,3107,,
Lights corr,MWSB.6.DE.2.LE2.8,3108,,
Lights corr,MWSB.6.DE.2.LE2.8,3129,,
Lights corr,MWSB.6.DE.2.LE2A.2,3110,,
Lights corr,MWSB.6.DE.2.LE2A.2,3109,,
Lights corr,MWSB.6.DE.2.LE2A.2,3106,,
Lights corr,MWSB.6.DE.2.LE2A.2,3016,,
Lights,MWSB.6.DE.2.LE2A.3,3111,,
Lights,MWSB.6.DE.2.LE2A.3,3017,,
Lights,MWSB.6.DE.2.LE2A.4,3043,,
Lights stairs D1,MWSB.6.DE.2.LE2A.5,,,
Lights stairs D2,MWSB.6.DE.2.LE2A.5,,,
Lights stairs C2,MWSB.6.DE.2.LE2A.6,,,
Fire Alarm/TFA,MWSB.6.DE.2.LE2A.7,,,
Intercom,MWSB.6.DE.2.LE2A.7,,,
Exit signs D/C Third Floor,MWSB.6.DE.2.LE2A.8,,,
Fire Alarm/TFA,MWSB.6.DE.2.LE2A.9,,,
Intercom,MWSB.6.DE.2.LE2A.9,,,
Exit Signs D/E Third Floor,MWSB.6.DE.2.LE2A.10,,,
Lights,MWSB.6.DE.3.LE1A.1,1068,,
Lights,MWSB.6.DE.3.LE1A.1,1069,,
Lights,MWSB.6.DE.3.LE1A.1,1069A,,
Lights,MWSB.6.DE.3.LE1A.1,1070,,
Lights Ramp,MWSB.6.DE.3.LE1A.1,,,
Lights Mezzanine,MWSB.6.DE.3.LE1A.2,2018,,
Lights Cafeteria,MWSB.6.DE.3.LE1A.3,1088,,
Lights exterior egress,MWSB.6.DE.3.LE1A.4,,,
Timeclock,MWSB.6.DE.3.LE1A.4,,,
Lights,MWSB.6.DE.3.LE1A.5,1056,,
Lights,MWSB.6.DE.3.LE1A.5,1066,,
Lights,MWSB.6.DE.3.LE1A.5,1066A,,
Lights,MWSB.6.DE.3.LE1A.5,1085,,
Lights,MWSB.6.DE.3.LE1A.5,1086,,
Lights,MWSB.6.DE.3.LE1A.5,1087,,
Exit Signs,MWSB.6.DE.3.LE1A.7,,,
Cafeteria Sound Amplifier,MWSB.6.DE.3.LE1A.8,1088,,
Cafeteria Sound Amplifier,MWSB.6.DE.3.LE1A.10,1088,,
Cafeteria Sound Amplifier,MWSB.6.DE.3.LE1A.12,1088,,
Collins Center Roof Hatches 3A-3B,MWSB.6.DE.5.TODE.ODE.1,,,
Collins Center Roof Hatches 2A-2B,MWSB.6.DE.5.TODE.ODE.3,,,
Collins Center Roof Hatches 5A-5B,MWSB.6.DE.5.TODE.ODE.4,,,
Collins Center Roof Hatches 1A-1B,MWSB.6.DE.5.TODE.ODE.5,,,
Collins Center Roof Hatches 4A-4B,MWSB.6.DE.5.TODE.ODE.6,,,
TV Office,MWSB.6.DE.5.TODE.ODE.8,1097B,,
TV Office,MWSB.6.DE.5.TODE.ODE.10,145,,
Access C03-01 Coateolin (???),MWSB.6.DE.5.TODE.ODE.12,,,
Collins panel HSELA Emergency Lights (3P),MWSB.6.DE.5.TODE.ODE.13,,X,
Lobby evacuation fresh air fan,MWSB.6.DE.5.TODE.ODE.14,,X,
Collins panel HSELA Emergency Lights (3P),MWSB.6.DE.5.TODE.ODE.15,,X,
Lobby evacuation fresh air fan,MWSB.6.DE.5.TODE.ODE.16,,X,
Collins panel HSELA Emergency Lights (3P),MWSB.6.DE.5.TODE.ODE.17,,X,
Lobby evacuation fresh air fan,MWSB.6.DE.5.TODE.ODE.18,,X,
Controls for HSELA,MWSB.6.DE.5.TODE.ODE.18,,,
Collins Center Roof Hatches 6A-6B,MWSB.6.DE.5.TODE.ODE.18,,,
Comp (??),MWSB.6.DE.6.PKE.1,,,
Comp (??),MWSB.6.DE.6.PKE.2,,,
Comp (??),MWSB.6.DE.6.PKE.3,,,
Comp (??),MWSB.6.DE.6.PKE.4,,,
Comp (??),MWSB.6.DE.6.PKE.5,,,
Comp (??),MWSB.6.DE.6.PKE.6,,,
Comp (??),MWSB.6.DE.6.PKE.7,,,
Lights Freezer,MWSB.6.DE.6.PKE.8,,,
Comp (??),MWSB.6.DE.6.PKE.9,,,
GFI (??),MWSB.6.DE.6.PKE.10,,,
Comp (??),MWSB.6.DE.6.PKE.11,,,
Refrigerator Deli Line,MWSB.6.DE.6.PKE.12,,,
Comp (??),MWSB.6.DE.6.PKE.13,,,
Refrigerator Deli Line,MWSB.6.DE.6.PKE.14,,,
Lights boys' showers,MWSB.6.DE.8.PMEsec1.1,1027,,
Exit Signs,MWSB.6.DE.8.PMEsec1.2,,,
Lights Stairs B-1,MWSB.6.DE.8.PMEsec1.3,,,
Exit Signs,MWSB.6.DE.8.PMEsec1.3,,,
Lights girls' showers,MWSB.6.DE.8.PMEsec1.4,1025,,
Lights corr,MWSB.6.DE.8.PMEsec1.5,1006,,
Lights Stairs B-8,MWSB.6.DE.8.PMEsec1.6,,,
Lights Stairs B-9,MWSB.6.DE.8.PMEsec1.6,,,
Lights Stairs B-10,MWSB.6.DE.8.PMEsec1.6,,,
Lights Stairs B-11,MWSB.6.DE.8.PMEsec1.6,,,
Lights corr,MWSB.6.DE.8.PMEsec1.7,1040,,
Lights corr,MWSB.6.DE.8.PMEsec1.8,1004,,
Lights Lobby,MWSB.6.DE.8.PMEsec1.8,1051,,
Lights,MWSB.6.DE.8.PMEsec1.9,1045,,
Lights,MWSB.6.DE.8.PMEsec1.9,1046,,
Lights stairs,MWSB.6.DE.8.PMEsec1.9,,,
Exit Signs,MWSB.6.DE.8.PMEsec1.10,,,
Boiler 1,MWSB.6.DE.8.PMEsec1.11,,,X
Boiler 2,MWSB.6.DE.8.PMEsec1.12,,,X
Boiler 1,MWSB.6.DE.8.PMEsec1.13,,,X
Boiler 2,MWSB.6.DE.8.PMEsec1.14,,,X
Boiler 1,MWSB.6.DE.8.PMEsec1.15,,,X
Boiler 2,MWSB.6.DE.8.PMEsec1.16,,,X
Boiler 3,MWSB.6.DE.8.PMEsec1.18,,,X
Boiler 3,MWSB.6.DE.8.PMEsec1.20,,,X
Boiler 3,MWSB.6.DE.8.PMEsec1.22,,,X
Jockey Pump +ACM-1,MWSB.6.DE.8.PMEsec1.23,,,X
P-2,MWSB.6.DE.8.PMEsec1.24,,,X
Jockey Pump +ACM-1,MWSB.6.DE.8.PMEsec1.25,,,X
P-2,MWSB.6.DE.8.PMEsec1.26,,,X
Jockey Pump +ACM-1,MWSB.6.DE.8.PMEsec1.27,,,X
P-2,MWSB.6.DE.8.PMEsec1.28,,,X
P-1,MWSB.6.DE.8.PMEsec1.29,,,X
P-3,MWSB.6.DE.8.PMEsec1.30,,,X
P-1,MWSB.6.DE.8.PMEsec1.31,,,X
P-3,MWSB.6.DE.8.PMEsec1.32,,,X
P-1,MWSB.6.DE.8.PMEsec1.33,,,X
P-3,MWSB.6.DE.8.PMEsec1.34,,,X
Jockey Pump Control Circuit,MWSB.6.DE.8.PMEsec1.35,,,
Jockey Pump +ACM-2,MWSB.6.DE.8.PMEsec1.37,,,X
Jockey Pump +ACM-2,MWSB.6.DE.8.PMEsec1.39,,,X
Jockey Pump +ACM-2,MWSB.6.DE.8.PMEsec1.41,,,X
Lights Lobby High Bay,MWSB.6.DE.8.PMEsec2.43,2016,,
Lights,MWSB.6.DE.8.PMEsec2.44,2006,,
Lights,MWSB.6.DE.8.PMEsec2.44,2008,,
Lights,MWSB.6.DE.8.PMEsec2.44,2011,,
Lights Lobby Level 2,MWSB.6.DE.8.PMEsec2.45,2016,,
Lights corr,MWSB.6.DE.8.PMEsec2.46,2015,,
Lights Lobby Stairs B-1,MWSB.6.DE.8.PMEsec2.47,2016,,
Alcoves,MWSB.6.DE.8.PMEsec2.47,2014,,
Lights corr,MWSB.6.DE.8.PMEsec2.48,2004,,
Lights corr,MWSB.6.DE.8.PMEsec2.48,2005,,
Lights Elev Lobby,MWSB.6.DE.8.PMEsec2.49,4001,,
AHU-13,MWSB.6.DE.8.PMEsec2.50,,,X
Lights mechanical Penthouses,MWSB.6.DE.8.PMEsec2.51,,,
AHU-13,MWSB.6.DE.8.PMEsec2.52,,,X
AHU-13,MWSB.6.DE.8.PMEsec2.54,,,X
Fuel Oil Pump P-4,MWSB.6.DE.8.PMEsec2.55,,,X
Fuel Oil Pump P-5,MWSB.6.DE.8.PMEsec2.55,,,X
Water Heater (H2O),MWSB.6.DE.8.PMEsec2.56,,,X
Fuel Oil Pump P-4,MWSB.6.DE.8.PMEsec2.57,,,X
Fuel Oil Pump P-5,MWSB.6.DE.8.PMEsec2.57,,,X
Water Heater (H2O),MWSB.6.DE.8.PMEsec2.58,,,X
Fuel Oil Pump P-4,MWSB.6.DE.8.PMEsec2.59,,,X
Fuel Oil Pump P-5,MWSB.6.DE.8.PMEsec2.59,,,X
Water Heater (H2O),MWSB.6.DE.8.PMEsec2.60,,,X
Jockey Pump +ACM-3,MWSB.6.DE.8.PMEsec2.61,,,X
F-21,MWSB.6.DE.8.PMEsec2.62,,,X
Jockey Pump +ACM-3,MWSB.6.DE.8.PMEsec2.63,,,X
F-21,MWSB.6.DE.8.PMEsec2.64,,,X
Jockey Pump +ACM-3,MWSB.6.DE.8.PMEsec2.65,,,X
F-21,MWSB.6.DE.8.PMEsec2.66,,,X
ATC Air Compressor-1,MWSB.6.DE.8.PMEsec2.67,,,X
ATC Air Compressor-2,MWSB.6.DE.8.PMEsec2.68,,,X
ATC Air Compressor-1,MWSB.6.DE.8.PMEsec2.69,,,X
ATC Air Compressor-2,MWSB.6.DE.8.PMEsec2.70,,,X
ATC Air Compressor-1,MWSB.6.DE.8.PMEsec2.71,,,X
ATC Air Compressor-2,MWSB.6.DE.8.PMEsec2.72,,,X
ACCU-1,MWSB.7.DG.4,,,
Site Light / Time clock,MWSB.7.DG.6,,,
Site Light / Time clock,MWSB.7.DG.7,,,
Site Light / Time clock,MWSB.7.DG.8,,,
Site Light / Time clock,MWSB.7.DG.9,,,
Lights,MWSB.7.DG.1.P4Gsec1.2,3001,,
Lights,MWSB.7.DG.1.P4Gsec1.3,3003,,
Lights,MWSB.7.DG.1.P4Gsec1.3,3004,,
Lights,MWSB.7.DG.1.P4Gsec1.4,3003,,
F-9,MWSB.7.DG.1.P4Gsec1.13,,,X
F-9,MWSB.7.DG.1.P4Gsec1.15,,,X
F-9,MWSB.7.DG.1.P4Gsec1.17,,,X
RTU-2,MWSB.7.DG.1.P4Gsec1.20,,,X
RTU-2,MWSB.7.DG.1.P4Gsec1.22,,,X
RTU-2,MWSB.7.DG.1.P4Gsec1.24,,,X
RTU-1,MWSB.7.DG.1.P4Gsec1.25,,,X
RTU-3,MWSB.7.DG.1.P4Gsec1.26,,,X
RTU-1,MWSB.7.DG.1.P4Gsec1.27,,,X
RTU-3,MWSB.7.DG.1.P4Gsec1.28,,,X
RTU-1,MWSB.7.DG.1.P4Gsec1.29,,,X
RTU-3,MWSB.7.DG.1.P4Gsec1.30,,,X
AHU-2,MWSB.7.DG.1.P4Gsec1.32,,,X
AHU-2,MWSB.7.DG.1.P4Gsec1.34,,,X
AHU-2,MWSB.7.DG.1.P4Gsec1.36,,,X
F-8,MWSB.7.DG.1.P4Gsec2.40,,,X
P-8,MWSB.7.DG.1.P4Gsec2.41,,,X
F-8,MWSB.7.DG.1.P4Gsec2.42,,,X
P-8,MWSB.7.DG.1.P4Gsec2.43,,,X
F-8,MWSB.7.DG.1.P4Gsec2.44,,,X
P-8,MWSB.7.DG.1.P4Gsec2.45,,,X
P-9,MWSB.7.DG.1.P4Gsec2.47,,,X
P-9,MWSB.7.DG.1.P4Gsec2.49,,,X
P-9,MWSB.7.DG.1.P4Gsec2.51,,,X
AHU-11,MWSB.7.DG.1.P4Gsec2.53,,,X
AHU-11,MWSB.7.DG.1.P4Gsec2.55,,,X
AHU-11,MWSB.7.DG.1.P4Gsec2.57,,,X
RTU-4,MWSB.7.DG.1.P4Gsec2.64,,,X
AHU-12,MWSB.7.DG.1.P4Gsec2.65,,,X
RTU-4,MWSB.7.DG.1.P4Gsec2.66,,,X
AHU-12,MWSB.7.DG.1.P4Gsec2.67,,,X
RTU-4,MWSB.7.DG.1.P4Gsec2.68,,,X
AHU-12,MWSB.7.DG.1.P4Gsec2.69,,,X
Lights Mechanical Room,MWSB.7.DG.2.L4GC.2,Mech,,
Lights Storage,MWSB.7.DG.2.L4GC.2,Store,,
Lights Women+//0Akg-s Team,MWSB.7.DG.2.L4GC.2,Women's Team Room,,
Lights,MWSB.7.DG.2.L4GC.3,1015,,
Lights,MWSB.7.DG.2.L4GC.3,1016,,
Lights,MWSB.7.DG.2.L4GC.3,1017,,
Lights Mechanical Room,MWSB.7.DG.2.L4GC.4,1043,,
Lights Boy+//0Akg-s Team,MWSB.7.DG.2.L4GC.4,boys' Team Room,,
Lights girls' locker room,MWSB.7.DG.2.L4GC.5,,,
Lights Equipment Storage,MWSB.7.DG.2.L4GC.5,,,
Lights,MWSB.7.DG.2.L4GC.7,1033,,
Lights,MWSB.7.DG.2.L4GC.7,1034,,
Lights Team Room,MWSB.7.DG.2.L4GC.7,,,
Lights boys' locker room,MWSB.7.DG.2.L4GC.8,,,
Lights,MWSB.7.DG.2.L4GC.8,1032,,
Lights corr,MWSB.7.DG.2.L4GC.11,1040,,
Lights corr,MWSB.7.DG.2.L4GC.13,1004,,
Lights Arts Lobby,MWSB.7.DG.2.L4GC.13,1051,,
Lights Bath,MWSB.7.DG.2.L4GC.14,1028,,
Lights Bath,MWSB.7.DG.2.L4GC.14,1029,,
Lights Bath,MWSB.7.DG.2.L4GC.14,1030,,
Lights Bath,MWSB.7.DG.2.L4GC.14,1030A,,
Lights Bath,MWSB.7.DG.2.L4GC.14,1030B,,
Lights,MWSB.7.DG.2.L4GC.15,1052,,
Lights,MWSB.7.DG.2.L4GC.15,1044,,
Lights,MWSB.7.DG.2.L4GC.15,1047A,,
Lights,MWSB.7.DG.2.L4GC.15,1051A,,
Lights,MWSB.7.DG.2.L4GC.15,1051B,,
Lights Office Tech,MWSB.7.DG.2.L4GC.16,1053,,
Lights ,MWSB.7.DG.2.L4GC.17,1054,,
Lights Ceramic,MWSB.7.DG.2.L4GC.19,1047,,
Lights Art,MWSB.7.DG.2.L4GC.20,1048,,
Lights Art,MWSB.7.DG.2.L4GC.21,1049,,
Elevator mechanical Room,MWSB.7.DG.2.L4GC.21,,,
Safari,MWSB.7.DG.2.L4GC.23,,,
Safari,MWSB.7.DG.2.L4GC.24,,,
bypass Relays,MWSB.7.DG.2.L4GC.27,,,
Far Safari lights,MWSB.7.DG.2.L4GC.28,,,
bypass Relays,MWSB.7.DG.2.L4GC.29,,,
Near Safari lights,MWSB.7.DG.2.L4GC.30,,,
bypass Relays,MWSB.7.DG.2.L4GC.31,,,
Outlets Gym South wall,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.1,,,
Folding curtain gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.2,,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1011,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1012,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1013,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1014,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1015,,
Outlets mechanical room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.3,1016,,
Backboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.4,,,
Backboard gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.5,,,
Outlet Storage,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.6,,,
Outlet equip,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.6,1017,,
Outlets corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.7,1011,,
Outlets storage,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.8,,,
Outlets corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.8,1008,,
South parking pole outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.8,,,
Backboard gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.10,,,
CUH gym west entry,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.12,,,
Outlet field house floor,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.12,,,
LGCsec1-1,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.9,,,
Folding curtain gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.14,,,
Outlets boys' locker,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.15,1032,,
Folding curtain gym +ACM-3,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.16,,,
Outlets equip,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.17,1006,,
Outlets corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.18,1004,,
Outlets CUH's stair - 10,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.19,??,,
Outlets CUH's stair - 11,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.19,??,,
Scoreboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.20,,,
Backboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.21,,,
Folding curtain gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.22,,,
Outlets gym (West),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.23,,,
Outlets Janitor's closet,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.23,,,
Backboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.24,,,
Outlets gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.25,,,
EWC 100,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.25,,,
CUH vest,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.26,1002,1002 (??),
Vending Machine,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.26,,,
Paddle fans gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.27,,,
Paddle fans gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.28,,,
Paddle fans gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.29,,,
Folding curtain gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.30,,,
Backboard gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.31,,,
Scoreboard gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.32,,,
Batting cage,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.32,,,
Backboard gym (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.33,,,
Backboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.33,,,
Folding curtain gym +ACM-4,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.34,,,
Backboard gym (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.35,,,
Folding curtain gym,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec1.36,,,
Outlets Office Tech,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.37,1053,,
Walker duct (Center),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.37,,,
Outlets Office Tech,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.38,1053,,
Walker duct (North),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.38,,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.39,1054,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.40,1054,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.41,1054,,
Outlets ceramic,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.42,1047,,
Outlets storage,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.42,1044,,
Outlets art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.43,1048,,
Outlets Office Tech North ,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.45,1053,,
Outlets Office Tech West,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.45,1053,,
Outlets Office Tech,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.46,1053,,
Walker duct (South),MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.46,,,
Outlets art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.47,1049,,
Outlets art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.48,1049,,
Outlets lobby,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.49,1051,,
Elev mechanical Room,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.49,,,
Outlets Office Tech East,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.50,1053,,
Outlets Office Tech South,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.50,1053,,
Outlets ceramic,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.51,1047,,
Outlets ceramic,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.52,1047,,
Outlets key,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.53,1052,,
Outlets art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.54,1048,,
Outlets art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.55,1048,,
Outlets key,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.56,1052,,
Outlets floor art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.57,1048,,
Outlets floor art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.58,1048,,
Outlets floor art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.59,1049,,
Lights ceramics,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.60,1047,,
Lights ceramics,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.61,1047,,
Lights ceramics,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.62,1047,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.63,1048,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.64,1048,,
Outlets key,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.65,1052,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.66,1048,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.67,1049,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.68,1049,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.69,1049,,
Outlets key,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.70,1052,,
Lights art,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.71,1049,,
Refrigerator training rm,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.72,1020,,
Ice maker training rm,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.73,1020,,
Refrigerator training rm,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.74,1020,,
Ice maker training rm,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.75,1020,,
Outlet for Whirlpool training rm,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.76,1020,,
Hand Dryer,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.77,1024,,
Hand Dryer,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec2.78,1026,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.79,1030A,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.79,1030B,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.80,1030A,,
Outlets,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.80,1030B,,
Hand Dryer Men's,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.81,1051,,
Outlets key,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.82,1052,,
Hand Dryer Women's,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.83,1051A,,
Hand Dryer bath,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.84,1034A,,
Hand Dryer bath,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.85,1051A,,
Water cooler corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.86,1004,,
Outlets office,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.87,1021,,
Outlets Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.88,,,
Outlets M+ACY-W rest,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.88,,,
Outlets corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.89,1040,,
Outlets team,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.89,1039,,
Outlets store,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.90,1034,,
Outlets office,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.92,1033,,
Outlets office,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.93,1022,,
Outlets team,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.94,1041,,
Outlets team,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.94,1042,,
Outlets team,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.94,1015a,,
Outlets Janitors closet,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.95,1031A,,
security Panel,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.95,,,
Outlets team,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.96,1037,,
Outlets office,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.96,1035,,
Outlets boys shower,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.97,1027,,
Outlets girls' shower,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.98,1025,,
Outlets girls' toilet,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.99,1024,,
Fan F-11,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.100,,,
Fan F-12,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.100,,,
Fan F-13,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.100,,,
Fan F-19,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.100,,,
Fan F-25,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.101,,,
Fan F-14,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.104,,,
Water Cooler corr,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.105,1004,,
Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.109,,,
Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.111,,,
Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.113,,,
Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.115,,,
Kiln,MWSB.7.DG.2.L4GC.37A.TGC.LGCsec3.117,,,
